Latitude,Longitude,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
44.744444,44.203056,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
-5.25,-44.5,41,Good,1,Good,5,Good,1,Good,41,Good
-26.081944,-53.564167000000005,41,Good,1,Good,5,Good,1,Good,41,Good
-18.9,-50.5,41,Good,1,Good,5,Good,1,Good,41,Good
37.15,15.183333,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
53.020284,20.882391,34,Good,1,Good,34,Good,0,Good,20,Good
,,22,Good,0,Good,22,Good,0,Good,6,Good
26.9294444,-82.0455556,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
49.283333,6.883333,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
51.083333,4.283333,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
44.048611,43.059444,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
30.183055600000003,31.2052778,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups
21.95,108.616667,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
52.383776,6.280611,41,Good,1,Good,24,Good,6,Good,41,Good
30.033333,77.15,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy
29.701667,77.28805600000001,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy
32.023175,72.432322,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
27.183333,67.95,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
41.6383333,22.4647222,83,Moderate,1,Good,46,Good,0,Good,83,Moderate
50.383333,3.483333,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
25.033333,85.416667,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy
37.383333,14.7,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
33.4483333,-112.0733333,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
33.3658333,-83.2777778,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
41.6111111,-87.63472220000001,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
29.6458333,-89.9397222,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
39.5163889,-76.6163889,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
47.3888889,-88.2775,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
32.5811111,-90.5627778,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
40.4777778,-74.3133333,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
43.23111110000001,-76.30111109999999,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
34.2933333,-78.0586111,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
42.2755556,-122.8169444,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
34.0772222,-82.11111109999999,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
29.3816667,-98.54138890000002,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
20.466667,84.233333,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy
52.774498,19.282374,28,Good,1,Good,28,Good,2,Good,28,Good
51.4,23.00872,28,Good,1,Good,28,Good,2,Good,28,Good
50.42069,20.266667,28,Good,1,Good,28,Good,2,Good,28,Good
51.822171,21.195831,28,Good,1,Good,28,Good,2,Good,28,Good
53.803187,18.776184,28,Good,1,Good,28,Good,2,Good,28,Good
50.534084,19.530831,28,Good,1,Good,28,Good,2,Good,28,Good
50.537056,21.564392,28,Good,1,Good,28,Good,2,Good,28,Good
52.170195,18.637174,28,Good,1,Good,28,Good,2,Good,28,Good
52.908695,14.654227,28,Good,1,Good,28,Good,2,Good,28,Good
20.8,73.583333,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups
18.616667,73.8,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups
-10.733333,-40.35,33,Good,0,Good,10,Good,1,Good,33,Good
30.091667,118.720833,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy
21.933333,108.733333,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy
36.283056,116.445278,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy
-22.516667,-43.983333,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
-27.416667,-49.1,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
9.866667,76.5,81,Moderate,1,Good,24,Good,1,Good,81,Moderate
3.491389,-75.14361099999999,67,Moderate,1,Good,16,Good,2,Good,67,Moderate
9.790289,-74.782442,67,Moderate,1,Good,16,Good,2,Good,67,Moderate
43.916667,23.066667,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
44.483333,24.083333,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
45.316667,26.133333,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
56.442222,60.187778,31,Good,1,Good,31,Good,0,Good,17,Good
46.908792,6.35917,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
40.8808333,-88.6297222,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
39.5902778,-87.1186111,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
37.8175,-96.7158333,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
42.6388889,-83.2911111,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
36.515555600000006,-92.6036111,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
42.6238889,-78.9694444,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
41.1888889,-82.725,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
41.73111110000001,-71.47916670000001,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
34.1283333,-80.855,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
-0.033333,109.333333,44,Good,1,Good,15,Good,0,Good,44,Good
-22.716667,-51.4,30,Good,1,Good,9,Good,2,Good,30,Good
61.483333,21.783333,30,Good,1,Good,30,Good,1,Good,15,Good
-33.917988,25.570066,79,Moderate,3,Good,18,Good,5,Good,79,Moderate
29.991111100000005,-93.9583333,34,Good,1,Good,19,Good,7,Good,34,Good
51.6,-3.783333,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
34.186111100000005,-103.3338889,77,Moderate,1,Good,34,Good,0,Good,77,Moderate
47.71805560000001,-116.9505556,61,Moderate,1,Good,32,Good,3,Good,61,Moderate
-4.323333,-59.68833299999999,32,Good,1,Good,7,Good,2,Good,32,Good
-12.833333,-39.133333,32,Good,1,Good,7,Good,2,Good,32,Good
-20.016667,-41.133333,32,Good,1,Good,7,Good,2,Good,32,Good
-20.783333,-55.36666700000001,32,Good,1,Good,7,Good,2,Good,32,Good
-11.733333,-57.316667,32,Good,1,Good,7,Good,2,Good,32,Good
-22.216667,-45.933333000000005,32,Good,1,Good,7,Good,2,Good,32,Good
-25.116667,-53.016667000000005,32,Good,1,Good,7,Good,2,Good,32,Good
-23.2589,-46.2406,32,Good,1,Good,7,Good,2,Good,32,Good
41.165278,121.366667,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate
44.5558,135.5674,29,Good,0,Good,29,Good,0,Good,25,Good
-5.25,38.8333333,51,Moderate,1,Good,23,Good,0,Good,51,Moderate
-6.8,39.2833333,51,Moderate,1,Good,23,Good,0,Good,51,Moderate
26.166667,85.9,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy
32.3508333,-87.6419444,45,Good,1,Good,32,Good,7,Good,45,Good
35.1141667,-94.2263889,45,Good,1,Good,32,Good,7,Good,45,Good
39.6486111,-121.8711111,45,Good,1,Good,32,Good,7,Good,45,Good
42.1130556,-111.9927778,45,Good,1,Good,32,Good,7,Good,45,Good
41.3847222,-88.7941667,45,Good,1,Good,32,Good,7,Good,45,Good
40.3741667,-86.76888890000001,45,Good,1,Good,32,Good,7,Good,45,Good
42.2613889,-94.0683333,45,Good,1,Good,32,Good,7,Good,45,Good
39.1127778,-84.47277779999999,45,Good,1,Good,32,Good,7,Good,45,Good
39.2391667,-76.9869444,45,Good,1,Good,32,Good,7,Good,45,Good
41.7983333,-86.4394444,45,Good,1,Good,32,Good,7,Good,45,Good
45.2438889,-93.5147222,45,Good,1,Good,32,Good,7,Good,45,Good
38.4852778,-94.1936111,45,Good,1,Good,32,Good,7,Good,45,Good
47.8658333,-114.2780556,45,Good,1,Good,32,Good,7,Good,45,Good
39.2372222,-119.59194440000002,45,Good,1,Good,32,Good,7,Good,45,Good
40.3725,-74.5105556,45,Good,1,Good,32,Good,7,Good,45,Good
32.7313889,-104.3847222,45,Good,1,Good,32,Good,7,Good,45,Good
42.4169444,-78.9772222,45,Good,1,Good,32,Good,7,Good,45,Good
