Latitude,Longitude,Day_of_Week,Month,Season,Temperature,Wind_Speed,Weather_Code,Current_Speed,Free_Flow_Speed,Speed_Ratio,Current_Travel_Time,Free_Flow_Travel_Time,Confidence,FRC,Hour,Minute
55.9533,-3.1883,0,5,1,16.5,15.5,0,86.0,114.8,0.749,409,400,0.91,1,23,16
52.3676,4.9041,3,5,1,15.6,16.9,1,85.2,109.6,0.777,127,113,0.91,1,14,29
48.4284,-123.3656,4,4,0,14.0,6.1,3,36.9,47.2,0.781,482,430,0.92,5,1,4
-22.9068,-43.1729,3,5,3,19.6,7.9,0,102.4,111.6,0.918,213,205,1.0,0,10,31
21.4858,39.1925,2,5,1,33.4,20.4,0,101.5,111.2,0.912,540,523,0.91,0,6,33
43.65107,-79.347015,4,5,1,17.1,8.0,3,61.8,64.5,0.958,392,358,0.93,3,5,51
-37.8136,144.9631,5,7,3,8.2,6.6,0,68.8,89.8,0.766,127,122,0.93,2,11,51
38.7223,-9.1393,1,6,1,26.3,8.0,2,108.9,123.5,0.882,120,76,0.92,0,11,18
-22.9068,-43.1729,0,4,2,24.7,9.7,0,38.6,52.3,0.738,214,196,0.94,5,4,13
41.3851,2.1734,4,7,1,28.2,7.7,2,66.2,75.5,0.877,429,403,0.91,2,9,36
-26.2041,28.0473,6,6,3,1.5,12.7,0,93.3,95.6,0.976,112,69,0.99,1,5,3
41.3851,2.1734,5,4,0,22.3,11.6,0,40.9,52.4,0.781,484,460,0.92,5,15,1
59.3293,18.0686,3,7,1,18.3,19.6,51,26.5,41.3,0.641,309,298,0.95,6,17,38
41.0082,28.9784,2,5,1,29.1,19.4,0,90.4,106.2,0.851,361,341,0.98,1,14,7
13.7563,100.5018,1,4,0,28.3,8.1,3,96.5,117.6,0.82,277,272,0.94,0,20,32
55.7558,37.6173,6,5,1,22.1,15.7,3,52.2,75.1,0.695,307,260,0.97,3,6,12
53.3498,-6.2603,2,5,1,12.7,19.5,3,40.0,51.0,0.784,528,490,0.98,5,17,36
-34.6037,-58.3816,6,4,2,17.2,6.1,51,102.2,104.0,0.983,130,105,0.93,0,11,25
-34.6037,-58.3816,3,5,3,24.8,23.0,3,37.2,54.1,0.686,93,64,0.99,5,19,55
53.3498,-6.2603,1,6,1,17.4,14.3,3,113.4,136.1,0.833,515,474,0.96,0,16,19
50.0755,14.4378,3,4,0,22.4,33.1,1,43.6,58.0,0.751,598,582,0.99,4,13,48
14.5995,120.9842,1,4,0,27.0,3.1,3,24.7,32.7,0.758,522,477,0.95,7,22,1
59.3293,18.0686,4,6,1,14.6,15.3,0,107.7,130.0,0.829,383,366,0.95,0,6,42
-43.5321,172.6362,3,5,3,10.3,28.0,51,28.5,37.7,0.758,594,583,0.96,6,2,48
53.4808,-2.2426,3,5,1,18.6,26.7,51,55.0,65.3,0.843,170,123,0.99,3,14,21
33.749,-84.388,4,6,1,30.3,11.5,3,86.9,90.9,0.956,251,209,0.91,1,22,58
30.0444,31.2357,5,6,1,40.9,10.2,0,59.5,81.2,0.733,63,16,0.92,3,11,28
44.6488,-63.5752,2,4,0,13.1,13.6,3,41.7,47.5,0.877,60,21,0.95,5,19,38
29.7604,-95.3698,4,5,1,24.6,7.0,0,45.8,69.9,0.656,326,272,0.94,4,8,54
55.8642,-4.2518,1,5,1,14.7,11.5,3,63.9,84.0,0.761,424,388,0.96,2,19,57
59.3293,18.0686,4,5,1,10.1,9.6,0,41.0,59.8,0.686,575,558,0.97,5,0,17
59.3293,18.0686,2,7,1,22.8,12.9,3,65.0,74.5,0.873,562,503,0.93,2,10,12
-42.8821,147.3272,1,5,3,10.4,6.5,3,77.9,108.4,0.719,540,513,0.96,1,3,43
3.139,101.6869,4,7,1,28.5,5.8,51,24.7,40.0,0.617,146,113,0.9,6,5,16
48.4284,-123.3656,1,7,1,12.3,21.0,1,38.1,55.6,0.686,139,87,0.91,5,14,30
22.3193,114.1694,0,4,0,24.1,11.9,61,22.4,35.1,0.639,522,508,0.95,6,12,33
53.4808,-2.2426,3,4,0,15.7,15.3,1,30.6,45.6,0.671,340,288,0.93,6,18,1
24.7136,46.6753,0,4,0,37.5,5.8,0,87.3,107.9,0.809,177,156,0.94,1,15,7
50.8503,4.3517,4,7,1,16.2,17.6,63,19.9,30.5,0.655,144,90,0.99,7,23,14
24.7136,46.6753,4,4,0,32.9,9.8,1,80.5,99.5,0.809,387,369,0.91,1,16,4
55.9533,-3.1883,1,6,1,15.4,20.3,51,23.7,29.6,0.8,351,322,0.97,7,10,34
41.3851,2.1734,3,5,1,21.0,10.9,51,52.7,64.8,0.813,298,289,0.93,3,19,18
41.8781,-87.6298,1,4,0,30.1,34.0,3,39.9,52.4,0.762,428,383,0.95,5,21,50
47.6062,-122.3321,6,6,1,20.8,10.3,0,115.5,118.9,0.971,597,569,0.94,0,4,28
28.7041,77.1025,6,4,0,30.2,3.3,0,41.3,54.9,0.752,349,291,0.99,5,1,15
47.4979,19.0402,0,4,0,20.5,11.1,2,68.3,85.2,0.802,568,558,0.96,2,12,16
-27.4698,153.0251,6,6,3,19.3,20.8,2,99.7,124.8,0.799,461,451,1.0,0,0,33
41.0082,28.9784,3,6,1,26.3,16.7,3,26.5,43.4,0.61,427,415,0.9,6,16,11
1.3521,103.8198,3,6,1,25.1,5.4,3,56.0,74.8,0.749,579,532,0.97,3,18,54
34.0522,-118.2437,1,6,1,19.3,3.3,0,55.2,75.0,0.736,274,238,0.91,3,12,8
22.3193,114.1694,4,4,0,24.4,23.9,3,49.5,60.2,0.823,460,409,0.92,4,0,18
28.7041,77.1025,4,4,0,33.5,8.4,0,47.8,65.5,0.729,226,179,0.96,4,17,11
64.1355,-21.8954,3,5,1,4.3,22.5,3,87.0,96.2,0.905,293,266,0.9,1,4,47
-41.2865,174.7762,5,4,2,13.7,25.1,0,67.4,89.7,0.752,431,378,0.95,2,2,31
53.5461,-113.4938,0,5,1,11.4,18.8,2,46.4,63.9,0.727,535,487,0.97,4,0,30
44.6488,-63.5752,0,7,1,17.1,9.9,0,29.5,48.5,0.608,522,473,0.92,6,5,5
64.1355,-21.8954,6,5,1,6.9,27.2,51,45.1,54.0,0.835,430,415,0.9,4,8,11
29.7604,-95.3698,3,4,0,31.2,20.5,3,25.4,34.4,0.74,114,100,0.94,7,18,2
21.3069,-157.8583,5,4,0,25.2,24.7,51,60.4,79.0,0.765,432,389,0.97,2,3,13
49.2827,-123.1207,2,4,0,6.0,5.4,0,26.6,31.8,0.837,284,247,0.92,7,3,39
49.2827,-123.1207,3,5,1,14.1,11.8,51,57.4,65.8,0.872,482,441,0.93,3,16,54
49.8951,-97.1384,0,4,0,11.8,8.7,3,39.3,54.7,0.719,120,69,0.91,5,2,9
-26.2041,28.0473,0,4,2,8.8,9.3,0,92.4,105.8,0.874,366,353,1.0,1,21,39
-36.8485,174.7633,5,4,2,7.6,6.0,3,91.0,96.6,0.942,167,109,0.99,1,19,15
-45.8788,170.5028,2,5,3,7.7,4.5,3,83.5,101.5,0.822,384,338,0.94,1,16,14
37.9838,23.7275,5,7,1,25.4,6.8,0,57.8,71.8,0.806,285,257,0.93,3,23,32
10.8231,106.6297,4,4,0,36.0,19.5,0,41.1,55.6,0.738,152,131,0.94,5,9,13
29.3759,47.9774,5,4,0,24.0,8.1,0,76.7,89.3,0.859,389,329,0.9,2,2,36
-34.6037,-58.3816,0,5,3,5.0,15.3,0,97.9,107.1,0.914,168,125,0.93,1,9,56
37.7749,-122.4194,1,7,1,15.6,14.1,0,28.8,44.9,0.641,594,568,0.91,6,6,5
19.4326,-99.1332,3,7,1,15.3,7.6,51,41.3,55.3,0.747,237,195,0.95,4,13,48
-23.5505,-46.6333,6,7,3,12.4,6.8,0,32.4,48.9,0.663,415,361,0.97,6,9,7
24.7136,46.6753,6,6,1,30.7,15.3,2,24.5,33.3,0.736,361,328,0.97,7,1,57
-31.9505,115.8605,4,7,3,7.2,6.1,2,56.3,69.5,0.81,94,72,0.92,3,23,38
-12.4634,130.8456,0,4,2,26.7,14.5,3,38.7,51.2,0.757,200,152,0.92,5,22,50
-42.8821,147.3272,3,4,2,11.4,19.2,3,45.3,61.1,0.741,559,552,0.93,4,2,36
-6.2088,106.8456,3,4,2,30.6,7.3,61,83.0,105.5,0.787,179,142,0.91,0,7,26
-34.6037,-58.3816,0,6,3,13.4,9.9,3,25.7,31.4,0.818,369,334,0.91,7,23,25
-23.5505,-46.6333,0,5,3,15.2,13.4,1,53.4,71.1,0.752,184,179,0.99,3,5,35
49.8951,-97.1384,3,4,0,17.1,29.4,3,59.9,87.1,0.687,243,227,0.95,2,13,5
-31.9505,115.8605,6,6,3,16.0,23.1,61,89.2,105.3,0.847,527,494,0.96,0,12,10
47.6062,-122.3321,2,6,1,13.1,7.2,0,43.3,52.3,0.827,496,467,0.97,5,9,39
55.8642,-4.2518,2,7,1,10.8,13.2,3,84.6,96.1,0.879,359,352,0.97,1,5,59
-34.9011,-56.1645,1,6,3,8.3,19.4,0,60.5,74.5,0.812,490,457,0.9,3,16,49
58.3019,-134.4197,0,6,1,13.2,6.4,61,34.5,40.1,0.859,569,532,0.98,5,8,41
52.4862,-1.8904,1,4,0,10.4,9.1,3,29.4,40.5,0.726,339,307,0.96,6,4,41
-33.9249,18.4241,5,5,3,10.2,8.7,0,88.2,96.9,0.91,252,194,0.94,1,6,18
48.2082,16.3738,3,4,0,17.5,16.2,3,110.9,133.1,0.833,486,446,1.0,0,6,14
22.3193,114.1694,4,6,1,29.8,11.9,51,95.8,104.4,0.918,116,72,0.99,0,5,14
25.276987,51.520008,4,4,0,37.0,16.6,0,54.0,70.2,0.769,267,220,0.94,4,10,43
47.4979,19.0402,1,7,1,26.6,10.4,2,45.2,62.1,0.727,461,433,0.98,4,6,44
48.4284,-123.3656,0,6,1,18.2,15.8,51,85.6,98.1,0.872,431,388,1.0,1,1,47
43.65107,-79.347015,3,4,0,13.6,23.2,0,89.2,96.5,0.924,476,469,0.96,1,14,1
-33.4489,-70.6693,4,4,2,10.5,4.7,3,26.0,35.6,0.731,570,527,1.0,7,3,28
-36.8485,174.7633,5,6,3,13.4,28.6,0,27.8,46.1,0.602,531,511,1.0,6,4,51
52.2297,21.0122,2,5,1,25.1,13.2,1,49.1,63.1,0.778,437,385,0.98,4,8,15
-27.4698,153.0251,4,5,3,9.3,13.6,0,25.0,31.7,0.789,302,249,0.9,7,20,25
21.4858,39.1925,1,7,1,36.1,27.5,3,28.2,44.1,0.641,267,260,0.94,6,8,27
-26.2041,28.0473,2,6,3,18.8,16.2,0,31.4,41.8,0.751,491,470,0.99,6,14,28
51.5074,-0.1278,1,7,1,21.0,14.8,1,59.6,77.5,0.769,433,415,0.92,3,18,48
47.4979,19.0402,6,6,1,22.1,1.8,1,34.3,47.4,0.724,320,293,0.96,5,0,8
44.6488,-63.5752,3,5,1,15.0,12.2,3,92.8,95.2,0.975,449,403,0.91,1,2,42
52.3676,4.9041,3,4,0,12.8,12.2,51,20.4,29.6,0.689,419,370,0.92,7,2,3
33.5731,-7.5898,2,4,0,23.5,13.7,3,53.6,66.1,0.811,303,292,0.95,3,16,48
64.1355,-21.8954,1,5,1,10.1,17.1,3,66.4,86.9,0.764,321,316,0.96,2,12,43
-6.2088,106.8456,1,4,2,28.2,2.3,3,62.3,70.0,0.891,583,542,0.91,3,11,40
41.3851,2.1734,3,5,1,25.9,12.0,2,23.0,34.8,0.661,331,312,0.98,7,8,50
-43.5321,172.6362,5,6,3,9.8,8.2,0,71.6,79.3,0.903,197,191,0.94,2,20,32
46.8139,-71.2082,1,6,1,20.2,7.4,0,60.5,74.2,0.815,486,474,0.97,3,4,39
-34.6037,-58.3816,2,5,3,21.1,28.9,3,46.9,66.4,0.706,431,421,0.98,4,7,50
55.8642,-4.2518,4,4,0,15.9,13.5,3,103.6,122.4,0.846,458,434,0.97,0,19,4
41.9028,12.4964,1,4,0,16.5,4.9,0,24.5,31.5,0.776,205,167,0.92,7,0,28
55.9533,-3.1883,6,5,1,17.5,8.7,2,43.7,56.8,0.769,206,152,0.94,4,19,9
33.5731,-7.5898,0,5,1,27.1,17.6,0,36.4,51.7,0.704,310,277,0.93,5,12,43
4.711,-74.0721,1,4,0,11.6,3.4,3,62.6,84.7,0.739,81,34,0.9,2,4,29
21.3069,-157.8583,3,6,1,26.2,25.1,3,25.0,35.7,0.698,177,164,0.99,7,4,5
-37.8136,144.9631,1,7,3,8.7,15.5,2,70.9,85.6,0.829,81,22,0.91,2,16,12
-34.9285,138.6007,1,7,3,15.7,25.3,1,37.9,55.2,0.687,348,317,0.94,5,13,55
43.65107,-79.347015,2,5,1,19.3,23.0,61,73.9,91.2,0.81,433,420,0.92,1,21,25
10.8231,106.6297,4,7,1,25.9,5.9,1,38.6,49.7,0.776,464,407,0.93,5,17,57
55.8642,-4.2518,6,7,1,16.1,16.0,51,42.9,54.6,0.786,247,208,0.92,4,21,51
33.5731,-7.5898,6,6,1,20.2,8.7,3,47.6,62.5,0.761,534,510,0.99,4,6,35
-1.286389,36.817223,5,5,3,22.9,8.8,2,54.1,71.5,0.756,514,465,0.95,3,8,48
6.5244,3.3792,6,5,1,27.9,16.8,3,23.6,33.0,0.714,527,487,0.94,7,15,34
13.7563,100.5018,4,6,1,27.0,9.8,53,58.6,69.6,0.842,98,61,0.91,3,14,11
-12.4634,130.8456,3,5,3,20.5,16.1,0,60.2,75.4,0.799,449,442,1.0,3,16,27
-6.2088,106.8456,0,4,2,31.3,2.2,51,29.4,41.9,0.701,379,330,0.91,6,2,57
19.4326,-99.1332,0,6,1,18.7,9.8,55,28.8,36.9,0.782,340,284,0.99,6,21,43
29.3759,47.9774,1,4,0,36.0,25.7,0,51.0,66.5,0.767,383,339,0.9,4,18,48
-41.2865,174.7762,6,7,3,12.8,38.0,3,82.5,108.1,0.764,153,142,0.91,1,8,8
30.0444,31.2357,3,5,1,29.7,7.2,0,65.5,77.7,0.843,105,88,0.93,3,6,21
-34.9285,138.6007,3,4,2,17.3,23.3,0,65.2,80.6,0.809,516,479,0.94,2,5,33
38.7223,-9.1393,6,4,0,14.9,16.1,1,91.6,102.4,0.895,575,540,0.91,1,19,58
30.0444,31.2357,4,5,1,39.9,19.1,0,54.0,63.6,0.85,122,69,1.0,4,11,47
